pstate,precision_mode,lane_mask_pct,sparsity_mode,sparsity_scale_milli,util_pct,freq_MHz,volt_mV,dyn_mW,leak_mW,power_mW,tops_milli,eff_milli
2,2,100,0,1000,80,800,700,1075,165,1240,163,0
2,2,100,0,1000,100,800,700,1370,165,1535,204,0
2,2,100,1,750,40,800,700,464,165,605,60,0
2,2,100,1,750,60,800,700,781,165,946,91,0
2,2,100,1,750,80,800,700,1075,165,1240,121,0
2,2,100,1,750,100,800,700,1370,165,1535,153,0
2,2,100,2,500,40,800,700,464,165,605,40,0
2,2,100,2,500,60,800,700,781,165,946,60,0
2,2,100,2,500,80,800,700,1075,165,1240,81,0
2,2,100,2,500,100,800,700,1370,165,1535,102,0
2,2,75,0,1000,40,800,700,464,165,605,60,0
2,2,75,0,1000,60,800,700,781,165,946,91,0
2,2,75,0,1000,80,800,700,1075,165,1240,121,0
2,2,75,0,1000,100,800,700,1370,165,1535,153,0
2,2,75,1,750,40,800,700,464,165,605,44,0
2,2,75,1,750,60,800,700,781,165,946,67,0
2,2,75,1,750,80,800,700,1075,165,1240,91,0
2,2,75,1,750,100,800,700,1370,165,1535,115,0
2,2,75,2,500,40,800,700,464,165,605,30,0
2,2,75,2,500,60,800,700,781,165,946,44,0
2,2,75,2,500,80,800,700,1075,165,1240,60,0
2,2,75,2,500,100,800,700,1370,165,1535,76,0
2,2,50,0,1000,40,800,700,464,165,605,40,0
2,2,50,0,1000,60,800,700,781,165,946,60,0
2,2,50,0,1000,80,800,700,1075,165,1240,81,0
2,2,50,0,1000,100,800,700,1370,165,1535,102,0
2,2,50,1,750,40,800,700,464,165,605,28,0
2,2,50,1,750,60,800,700,781,165,946,44,0
2,2,50,1,750,80,800,700,1075,165,1240,60,0
2,2,50,1,750,100,800,700,1370,165,1535,76,0
2,2,50,2,500,40,800,700,464,165,605,19,0
2,2,50,2,500,60,800,700,781,165,946,30,0
2,2,50,2,500,80,800,700,1075,165,1240,40,0
2,2,50,2,500,100,800,700,1370,165,1535,51,0
2,3,100,0,1000,40,800,700,464,165,605,81,0
2,3,100,0,1000,60,800,700,781,165,946,121,0
2,3,100,0,1000,80,800,700,1075,165,1240,163,0
2,3,100,0,1000,100,800,700,1370,165,1535,204,0
2,3,100,1,750,40,800,700,464,165,605,60,0
2,3,100,1,750,60,800,700,781,165,946,91,0
2,3,100,1,750,80,800,700,1075,165,1240,121,0
2,3,100,1,750,100,800,700,1370,165,1535,153,0
2,3,100,2,500,40,800,700,464,165,605,40,0
2,3,100,2,500,60,800,700,781,165,946,60,0
2,3,100,2,500,80,800,700,1075,165,1240,81,0
2,3,100,2,500,100,800,700,1370,165,1535,102,0
2,3,75,0,1000,40,800,700,464,165,605,60,0
2,3,75,0,1000,60,800,700,781,165,946,91,0
2,3,75,0,1000,80,800,700,1075,165,1240,121,0
2,3,75,0,1000,100,800,700,1370,165,1535,153,0
2,3,75,1,750,40,800,700,464,165,605,44,0
2,3,75,1,750,60,800,700,781,165,946,67,0
2,3,75,1,750,80,800,700,1075,165,1240,91,0
2,3,75,1,750,100,800,700,1370,165,1535,115,0
2,3,75,2,500,40,800,650,464,165,605,30,0
2,3,75,2,500,60,800,700,781,165,946,44,0
2,3,75,2,500,80,800,700,1075,165,1240,60,0
2,3,75,2,500,100,800,700,1370,165,1535,76,0
2,3,50,0,1000,40,800,700,464,165,605,40,0
2,3,50,0,1000,60,800,700,781,165,946,60,0
2,3,50,0,1000,80,800,700,1075,165,1240,81,0
2,3,50,0,1000,100,800,700,1370,165,1535,102,0
2,3,50,1,750,40,800,700,464,165,605,28,0
2,3,50,1,750,60,800,700,781,165,946,44,0
2,3,50,1,750,80,800,700,1075,165,1240,60,0
2,3,50,1,750,100,800,700,1370,165,1535,76,0
2,3,50,2,500,40,800,700,464,165,605,19,0
2,3,50,2,500,60,800,700,781,165,946,30,0
2,3,50,2,500,80,800,700,1075,165,1240,40,0
2,3,50,2,500,100,800,700,1370,165,1535,51,0
3,0,100,0,1000,40,1000,750,592,190,752,102,0
3,0,100,0,1000,60,1000,750,997,190,1187,152,0
3,0,100,0,1000,80,1000,750,1372,190,1562,204,0
3,0,100,0,1000,100,1000,750,1748,190,1938,256,0
3,0,100,1,750,40,1000,750,592,190,752,76,0
3,0,100,1,750,60,1000,750,997,190,1187,114,0
3,0,100,1,750,80,1000,750,1372,190,1562,152,0
3,0,100,1,750,100,1000,750,1748,190,1938,192,0
3,0,100,2,500,40,1000,750,592,190,752,50,0
3,0,100,2,500,60,1000,750,997,190,1187,76,0
3,0,100,2,500,80,1000,750,1372,190,1562,102,0
3,0,100,2,500,100,1000,750,1748,190,1938,128,0
3,0,75,0,1000,40,1000,750,592,190,752,76,0
3,0,75,0,1000,60,1000,750,997,190,1187,114,0
3,0,75,0,1000,80,1000,750,1372,190,1562,152,0
3,0,75,0,1000,100,1000,750,1748,190,1938,192,0
3,0,75,1,750,40,1000,750,592,190,752,56,0
3,0,75,1,750,60,1000,750,997,190,1187,84,0
3,0,75,1,750,80,1000,750,1372,190,1562,114,0
3,0,75,1,750,100,1000,750,1748,190,1938,144,0
3,0,75,2,500,40,1000,750,592,190,752,38,0
3,0,75,2,500,60,1000,750,997,190,1187,56,0
3,0,75,2,500,80,1000,750,1372,190,1562,76,0
3,0,75,2,500,100,1000,750,1748,190,2388,96,0
3,0,50,0,1000,40,1000,750,592,190,752,50,0
3,0,50,0,1000,60,1000,750,997,190,1187,76,0
3,0,50,0,1000,80,1000,750,1372,190,1562,102,0
3,0,50,0,1000,100,1000,750,1748,190,1938,128,0
3,0,50,1,750,40,1000,750,592,190,752,36,0
3,0,50,1,750,60,1000,750,997,190,1187,56,0
